	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_corrections
0	Da mir die Arbeit mit anderen Menschen sehr großen Spas bereitet , habe ich mich entschlossen , mich zu bewerben .	Spas	51	55	Spaß	Spaß	y	[]
1	Ich bin flexibel und für neuen Aufgaben ofen .	ofen	40	44	offen	offen	y	['Ofen', 'oben', 'offen', 'Sven', 'opfern', 'Öfen', 'ölen', 'Zofen', 'opfer', 'pofen', 'öden', 'den', 'oder', 'ohne', 'oft', 'Wien', 'hohen', 'Polen', 'roten']
2	Takt , Geduld , warmherzigkeit und Zuverlässigkeit bringe ich mit , sowie Erfahrung im Umgang mit Kindern und der Haushaltsführung .	warmherzigkeit	16	30	Barmherzigkeit	Warmherzigkeit	n	['Warmherzigkeit', 'Barmherzigkeit', 'Hartherzigkeit']
3	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Naturlich	0	9	Natürlich	Natürlich	y	['Natürlich', 'Naturliga', 'Naturlicht', 'Natürliche', 'Natürlichen', 'Naturloch', 'Natürlicher', 'Naturlaich', 'Väterlich', 'Natürliches', 'Naturgig', 'Naturbuch', 'Natürlichem', 'Naturlug', 'Natureiche', 'Naturlage', 'Naturlied', 'Naturhoch', 'Naturreich', 'Naturteich']
4	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Deutsche	25	33	deutschen	deutsche	n	[]
5	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Reche	70	75	Recht	Rechte	n	[]
6	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Pflichen	78	86	Pflichten	Pflichten	y	['Flächen', 'Flachen', 'Pflichten', 'Fliehen', 'Flügen', 'Flogen', 'Flicken', 'Pflegen', 'Flüchen', 'Blicken', 'Feigen', 'Ficken', 'Fluchen', 'Pflügen', 'Fläche', 'Blichen', 'Flögen', 'Fliegen', 'Flügel', 'Poligen']
7	Wiviel Stunden in der Woche müssen die Kinder betreut werden ?	Wiviel	0	6	Viel	Wieviel	n	['Vivien', 'Viel', 'Soviel', 'Winkel', 'Zivile', 'Eifel', 'Gefiel', 'Zivil', 'Zufiel', 'Visier', 'Eiffel', 'Wirbel', 'Abfiel', 'Anfiel', 'Civil', 'Riffel', 'Vilbel', 'Vinyl', 'Vivian']
8	101 65185 Wiesbaden 0611/9988776 14.05.2011 Sehr geehrte Damen und Herren ich habe Ihre Anannse in der Zeitung gelesen .	Anannse	88	95	Analyse	Annonce	n	['Nannte', 'Analyse', 'Anamnese', 'Anrannte', 'Ananas', 'Antanze', 'Antanzte', 'Ananasse', 'Annans']
9	Von ihr Anzeige bin ich interesiert .	interesiert	24	35	interessiert	interessiert	y	['interessiert', 'interessierte', 'interniert', 'interagiert', 'interveniert', 'interessiere', 'interferiert', 'interessierst', 'interzediert']
