	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_corrections
0	Siamo appassianati dello sport .	appassianati	6	18	appassionati	appassionati	y	['Appassionati', 'appassionati']
1	Purtroppo non abbiamo potuto giocare tennis perchè i campi da tennis erano in riparazione .	perchè	44	50	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
2	Ma per dire la verità non siamo riusciti a divertirci perchè non tutte le cose sono come avete scritto nella pubblicità .	perchè	54	60	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
3	Il residenze è molto vecchio e i muri sono sporchi .	residenze	3	12	residence	residence	y	[]
4	La prima cosa è , l' appartamento è vecchio , dopo l' aria condizionata non ha funzionata e sopprattutto la piscina era sempre sovraffollata .	sopprattutto	92	104	soprattutto	sopratutto	n	['soprattutto']
5	Sono molto socievole , e ho giá lavorato in Italia per tre mesi .	giá	28	31	già	già	y	['già', 'Aia', 'Eia', 'GIP', 'Gian', 'Gina', 'Lia', 'aia', 'dia', 'eia', 'gaia', 'giga', 'gin', 'gioa', 'gira', 'gita', 'giù', 'glia', 'mia', 'pia', 'ria', 'sia', 'via', 'zia', 'CIA', 'GIF', 'Kia']
6	Sono stata impiegata in GAL (Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	universita	114	124	università	università	y	['Università', 'università']
7	Sono stata impiegata in GAL (Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	reggionale	160	170	regionale	regionale	y	['regionale']
8	Sono quasi tutto il estate libera (da 21 giugo al 11 augusto ) , allora potrei cominciare nel primo campo .	giugo	41	46	giugno	giugno	y	['giogo', 'giugno', 'giungo', 'giuro', 'giurò', 'giuso']
9	Sono quasi tutto il estate libera (da 21 giugo al 11 augusto ) , allora potrei cominciare nel primo campo .	augusto	53	60	Augusto	agosto	n	[]
10	Maria Rossi Città X Strada Maggiore 9 12345 Ungheria Canton Ticino Lugano 18 Via Montanini 1234 Italia 13 agosto 2011 Spettabile ditta , Vi scrivo perchè ho avuto dei problemi durante la mia permanenza nel vostro villaggio turistico .	perchè	147	153	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
11	Prima di tutto sono state grande differenze tra la realtà e l' annucio pubblicato che ho letto su vostro sito Internet .	annucio	63	70	annuncio	annuncio	y	['Annuncio', 'Annunciò', 'annuncio', 'annunciò']
12	Per esempio l' area condizionata non era funzionante e la piscina era sempre sovraffollata .	area	15	19	aria	aria	y	[]
13	In oltre sono una persona sportiva ma non ho potuto fare niente di sport .	In	0	2	In	Inoltre	n	[]
14	In oltre sono una persona sportiva ma non ho potuto fare niente di sport .	oltre	3	8	oltre	Inoltre	n	[]
15	Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	perchè	53	59	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
16	Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	villaggo	119	127	villaggio	villaggio	y	['villaggi', 'villaggio']
17	Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	perchè	138	144	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
18	Anche il residenze era vecchio mentre ho letto che questo è di recente costruzione .	residenze	9	18	residente	residence	n	[]
19	13 agosto 2011 Gentile Solidarietá Viva , avendo letto con piacere il suo annuncio , ho deciso di partecipare ad un corso da suo organizzato .	Solidarietá	23	34	solidarietà	Solidarietà	n	['Solidarietà']
20	Mi piacerebbe offrire la mia aiuto e vorrei viaggare ad Africa con la sua ditta .	viaggare	44	52	viaggiare	viaggiare	y	['viaggiare']
21	È un buon occassione per practicare le lingue e impiegare la responsabilità .	occassione	10	20	occasione	occasione	y	['Occasione', 'occasione']
22	È un buon occassione per practicare le lingue e impiegare la responsabilità .	practicare	25	35	praticare	praticare	y	['praticare']
23	Città X , 08 19 2011 Gentile Signore , Io voglio scrivere i mei probleme .	Io	39	41	Io	io	n	[]
24	L' attore ha raccontato il residence é nuovo .	é	37	38	è	è	y	['e', 'è']
25	In augosto faceva molto caldo , ma l' aria condizionata non ha funzionato nella nostra camera .	augosto	3	10	agosto	agosto	y	['Agosto', 'Augusto', 'agosto', 'augusto']
26	Ogni giorno saremmo nuotato , ma la piscina era sempre sovrafollata .	sovrafollata	55	67	sovraffollato	sovraffolata	n	['sovraffollata', 'sovra follata']
27	Io preferito fare la gita , ma il lago é lontano del residence .	é	39	40	e	è	n	['e', 'è']
28	Cosí noi abbiamo passato un giorno con il viaggio e il biglietto di andate e ritorno era molto costoso .	Cosí	0	4	Cosa	Così	n	['Cosi', 'Così', 'Osi', 'Casi', 'Codi', 'Coesi', 'Coi', 'Coli', 'Colsi', 'Comi', 'Coni', 'Copi', 'Cori', 'Corsi', 'Cos', 'Cosa', 'Cosci', 'Cose', 'Coso', 'Cossi', 'Costi', 'Covi', 'Dosi', 'Posi', 'Rosi', 'Tosi']
29	I prezzi erano piú ricchi che sono nella cataloga .	piú	15	18	più	più	y	['più', 'PIL', 'giù', 'pi', 'pia', 'pie', 'pii', 'pio', 'piè']
30	Io non sono contenta , perché erano molte differenze tra la realtá e l' annuncio pubblicitario .	realtá	60	66	realtà	realtà	y	['realtà', 'lealtà', 'relata']
31	L' ano prossimo non viaggieremo in Città X nella Residence al Lago .	ano	3	6	anno	anno	y	[]
32	L' ano prossimo non viaggieremo in Città X nella Residence al Lago .	viaggieremo	20	31	viaggeremo	viaggeremo	y	['viaggeremo', 'viaggi eremo']
33	Loro scrivevano tante buggia tra le informazioni .	buggia	22	28	bugia	bugia	y	['Muggia', 'Uggia', 'bugia', 'buglia', 'uggia', 'b uggia']
34	La residence è molto vecchio , che ocorre rifare .	ocorre	35	41	occorre	occorre	y	['Occorre', 'Occorré', 'corre', 'corré', 'occorre', 'occorré', 'scorre', 'scorré', 'o corre']
35	Non siamo potuto usare i campi da tennis perchè era in riparazione .	perchè	41	47	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
36	Ogni giorno abbiamo passato tre ore nell' aspetto in differenti stazioni dei mezzi pubblici , perchè il lago è lontano , il treno va due volte a giorno .	perchè	94	100	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
37	Si deve cercare la possibilità di gioccare tennis in un altro posto .	gioccare	34	42	giocare	giocare	y	['fioccare', 'giocare']
38	Agosto 2011 Egregi Signori , In seguito al soggiorno nel vostro albergo nel mese scorso , ho deciso di scrivere la mia esperienza .	In	29	31	In	in	n	[]
39	Ho letto nel suo annuncio che il hote é provvista di condizionamento d' aria , ma nemmeno questo funzionava .	hote	33	37	note	hotel	n	['Hotel', 'Hoè', 'Hône', 'cote', 'dote', 'gote', 'hotel', 'mote', 'note', 'pote', 'poté', 'rote', 'tote', 'ho te']
40	Ho letto nel suo annuncio che il hote é provvista di condizionamento d' aria , ma nemmeno questo funzionava .	é	38	39	è	è	y	['e', 'è']
41	Mi piace nuotare , peró in piscina c' era tante gente e così non mi é riuscita di nuotare affatto .	peró	19	23	per	però	n	['pero', 'però', 'Aero', 'Aerò', 'Ero', 'Opero', 'Operò', 'Pedro', 'Peio', 'Perù', 'Piero', 'aero', 'aerò', 'berò', 'cero', 'cerò', 'ero', 'mero', 'nero', 'opero', 'operò', 'paro', 'parò', 'pedo', 'pelo', 'pelò', 'peno', 'penò', 'pepo', 'pepò', 'per', 'pera', 'perdo', 'pere', 'peri', 'perno', 'perso', 'perì', 'peso', 'pesò', 'peto', 'piro', 'poro', 'pro', 'ptero', 'puro', 'spero', 'sperò', 'vero', 'zero', 'Perl']
42	Mi piace nuotare , peró in piscina c' era tante gente e così non mi é riuscita di nuotare affatto .	é	68	69	è	è	y	['e', 'è']
43	per quanto riguarda il trattamento non mi lamento , peró la possibilità per fare dello sport era orribile .	per	0	3	Per	Per	y	['Per']
