Languagetool gets right: 13772
Out of: 38698
Accuracy: 0.356

LT correct + ours correct: 8131
LT correct + ours incorrect: 5641
LT incorrect + ours correct: 7051
LT incorrect + ours incorrect: 17875

############ Correct by Languagetool, correct by us ##########
orig: wolte 	 correct: wollte ours: wollte
orig: boden 	 correct: Boden ours: Boden
orig: gieben 	 correct: geben ours: geben
orig: natürlig 	 correct: natürlich ours: natürlich
orig: schneel 	 correct: schnell ours: schnell
orig: Noch 	 correct: noch ours: noch
orig: Alle 	 correct: alle ours: alle
orig: Noch 	 correct: noch ours: noch
orig: eis 	 correct: Eis ours: Eis
orig: fellt 	 correct: fällt ours: fällt
orig: hinn 	 correct: hin ours: hin
orig: giebt 	 correct: gibt ours: gibt
orig: glüklieg 	 correct: glücklich ours: glücklich
orig: bekomen 	 correct: bekommen ours: bekommen
orig: rhr 	 correct: ihr ours: ihr
orig: lars 	 correct: Lars ours: Lars
orig: bi-schen 	 correct: bisschen ours: bisschen
orig: TroPfschen 	 correct: Tröpfchen ours: Tröpfchen
orig: zusamm-en 	 correct: zusammen ours: zusammen
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: bekomen 	 correct: bekommen ours: bekommen
orig: schnel 	 correct: schnell ours: schnell
orig: ei 	 correct: ein ours: ein
orig: unt 	 correct: und ours: und
orig: Das 	 correct: das ours: das
orig: eis 	 correct: Eis ours: Eis
orig: unt 	 correct: und ours: und
orig: Tröstet 	 correct: tröstet ours: tröstet
orig: stück 	 correct: Stück ours: Stück
orig: spazirn 	 correct: spazieren ours: spazieren
orig: boden 	 correct: Boden ours: Boden
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: boden 	 correct: Boden ours: Boden
orig: boden 	 correct: Boden ours: Boden
orig: boden 	 correct: Boden ours: Boden
orig: Auf 	 correct: auf ours: auf
orig: gipt 	 correct: gibt ours: gibt
orig: hälfte 	 correct: Hälfte ours: Hälfte
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: werlirt 	 correct: verliert ours: verliert
orig: tages 	 correct: Tages ours: Tages
orig: eis 	 correct: Eis ours: Eis
orig: dan 	 correct: dann ours: dann
orig: reinn 	 correct: rein ours: rein
orig: eis 	 correct: Eis ours: Eis
orig: spatzieren 	 correct: spazieren ours: spazieren
orig: boden 	 correct: Boden ours: Boden
orig: glüklich 	 correct: glücklich ours: glücklich
orig: kaput 	 correct: kaputt ours: kaputt
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: sit 	 correct: ist ours: ist
orig: bekomen 	 correct: bekommen ours: bekommen
orig: sint 	 correct: sind ours: sind
orig: Hat 	 correct: hat ours: hat
orig: unden 	 correct: unten ours: unten
orig: kaput 	 correct: kaputt ours: kaputt
orig: geteit 	 correct: geteilt ours: geteilt
orig: glüklisch 	 correct: glücklich ours: glücklich
orig: üüber 	 correct: über ours: über
orig: wider 	 correct: wieder ours: wieder
orig: samelt 	 correct: sammelt ours: sammelt
orig: irem 	 correct: ihrem ours: ihrem
orig: un 	 correct: und ours: und
orig: gipt 	 correct: gibt ours: gibt
orig: zusamen 	 correct: zusammen ours: zusammen
orig: glü-klich 	 correct: glücklich ours: glücklich
orig: stückchen 	 correct: Stückchen ours: Stückchen
orig: zusamen 	 correct: zusammen ours: zusammen
orig: kletert 	 correct: klettert ours: klettert
orig: troft 	 correct: tropft ours: tropft
orig: geschtolpert 	 correct: gestolpert ours: gestolpert
orig: gefalen 	 correct: gefallen ours: gefallen
orig: Wanile 	 correct: Vanille ours: Vanille
orig: eimal 	 correct: einmal ours: einmal
orig: gestolper 	 correct: gestolpert ours: gestolpert
orig: trostet 	 correct: tröstet ours: tröstet
orig: traurich 	 correct: traurig ours: traurig
orig: sint 	 correct: sind ours: sind
orig: Tropft 	 correct: tropft ours: tropft
orig: weind 	 correct: weint ours: weint
orig: füse 	 correct: Füße ours: Füße
orig: boden 	 correct: Boden ours: Boden
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: trauig 	 correct: traurig ours: traurig
orig: allle 	 correct: alle ours: alle
orig: siene 	 correct: seine ours: seine
orig: bekomt 	 correct: bekommt ours: bekommt
orig: beinen 	 correct: Beinen ours: Beinen
orig: stolbert 	 correct: stolpert ours: stolpert
orig: kinder 	 correct: Kinder ours: Kinder
orig: dan 	 correct: dann ours: dann
orig: zusamen 	 correct: zusammen ours: zusammen
orig: wolte 	 correct: wollte ours: wollte
orig: glucklich 	 correct: glücklich ours: glücklich
orig: geseigt 	 correct: gezeigt ours: gezeigt
orig: glüklich 	 correct: glücklich ours: glücklich
orig: äuch 	 correct: euch ours: euch
orig: boden 	 correct: Boden ours: Boden
orig: boden 	 correct: Boden ours: Boden
orig: eis 	 correct: Eis ours: Eis
