Languagetool gets right: 2478
Out of: 5366
Accuracy: 0.462

LT correct + ours correct: 1813
LT correct + ours incorrect: 665
LT incorrect + ours correct: 1176
LT incorrect + ours incorrect: 1712

############ Correct by Languagetool, correct by us ##########
orig: Naturlich 	 correct: Natürlich ours: Natürlich
orig: interesiert 	 correct: interessiert ours: interessiert
orig: Mentalitet 	 correct: Mentalität ours: Mentalität
orig: Erfarung 	 correct: Erfahrung ours: Erfahrung
orig: arbeit 	 correct: Arbeit ours: Arbeit
orig: Armenischen 	 correct: armenischen ours: armenischen
orig: benantworten 	 correct: beantworten ours: beantworten
orig: interesiert 	 correct: interessiert ours: interessiert
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: wolte 	 correct: wollte ours: wollte
orig: geschprochen 	 correct: gesprochen ours: gesprochen
orig: verbesern 	 correct: verbessern ours: verbessern
orig: Schuhle 	 correct: Schule ours: Schule
orig: organizieren 	 correct: organisieren ours: organisieren
orig: besuschen 	 correct: besuchen ours: besuchen
orig: Statd 	 correct: Stadt ours: Stadt
orig: mitte 	 correct: Mitte ours: Mitte
orig: ideall 	 correct: ideal ours: ideal
orig: praktikantin 	 correct: Praktikantin ours: Praktikantin
orig: freude 	 correct: Freude ours: Freude
orig: Motiviert 	 correct: motiviert ours: motiviert
orig: Kaufmännischen 	 correct: kaufmännischen ours: kaufmännischen
orig: Invormieren 	 correct: Informieren ours: Informieren
orig: mit 	 correct: Mit ours: Mit
orig: frundlichen 	 correct: freundlichen ours: freundlichen
orig: enzeige 	 correct: Anzeige ours: Anzeige
orig: Chencen 	 correct: Chancen ours: Chancen
orig: Kaufmännischer 	 correct: kaufmännischer ours: kaufmännischer
orig: erfahrung 	 correct: Erfahrung ours: Erfahrung
orig: Exel 	 correct: Excel ours: Excel
orig: behersche 	 correct: beherrsche ours: beherrsche
orig: Prarktikum 	 correct: Praktikum ours: Praktikum
orig: Als 	 correct: als ours: als
orig: intrnational 	 correct: international ours: international
orig: Grüssen 	 correct: Grüßen ours: Grüßen
orig: ansprusvollen 	 correct: anspruchsvollen ours: anspruchsvollen
orig: Unternemen 	 correct: Unternehmen ours: Unternehmen
orig: Tatigkeit 	 correct: Tätigkeit ours: Tätigkeit
orig: eiginständig 	 correct: eigenständig ours: eigenständig
orig: personlich 	 correct: persönlich ours: persönlich
orig: durchgefuhrtene 	 correct: durchgeführten ours: durchgeführten
orig: mundlich 	 correct: mündlich ours: mündlich
orig: diesemn 	 correct: diesem ours: diesem
orig: erfahrung 	 correct: Erfahrung ours: Erfahrung
orig: praktikum 	 correct: Praktikum ours: Praktikum
orig: monat 	 correct: Monat ours: Monat
orig: beherschen 	 correct: beherrschen ours: beherrschen
orig: ziel 	 correct: Ziel ours: Ziel
orig: beherschen 	 correct: beherrschen ours: beherrschen
orig: september 	 correct: September ours: September
orig: Grüssen 	 correct: Grüßen ours: Grüßen
orig: Bescheinigum 	 correct: Bescheinigung ours: Bescheinigung
orig: Begrundung 	 correct: Begründung ours: Begründung
orig: fragen 	 correct: Fragen ours: Fragen
orig: antwort 	 correct: Antwort ours: Antwort
orig: betrift 	 correct: betrifft ours: betrifft
orig: erfaren 	 correct: erfahren ours: erfahren
orig: Addresse 	 correct: Adresse ours: Adresse
orig: Anziege 	 correct: Anzeige ours: Anzeige
orig: spaß 	 correct: Spaß ours: Spaß
orig: Projecte 	 correct: Projekte ours: Projekte
orig: gefuhrt 	 correct: geführt ours: geführt
orig: Erpharung 	 correct: Erfahrung ours: Erfahrung
orig: anfang 	 correct: Anfang ours: Anfang
orig: antretten 	 correct: antreten ours: antreten
orig: Moglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: interesse 	 correct: Interesse ours: Interesse
orig: langjehrige 	 correct: langjährige ours: langjährige
orig: umgesiedilt 	 correct: umgesiedelt ours: umgesiedelt
orig: Tätichkeiten 	 correct: Tätigkeiten ours: Tätigkeiten
orig: Erfarungen 	 correct: Erfahrungen ours: Erfahrungen
orig: festgestelt 	 correct: festgestellt ours: festgestellt
orig: grunglich 	 correct: gründlich ours: gründlich
orig: vielfälltige 	 correct: vielfältige ours: vielfältige
orig: Korrekte 	 correct: korrekte ours: korrekte
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: gelessen 	 correct: gelesen ours: gelesen
orig: Erfolgreichen 	 correct: erfolgreichen ours: erfolgreichen
orig: Abschluß 	 correct: Abschluss ours: Abschluss
orig: interesse 	 correct: Interesse ours: Interesse
orig: fähigkeiten 	 correct: Fähigkeiten ours: Fähigkeiten
orig: gespräch 	 correct: Gespräch ours: Gespräch
orig: Marz 	 correct: März ours: März
orig: interesse 	 correct: Interesse ours: Interesse
orig: brief 	 correct: Brief ours: Brief
orig: jahre 	 correct: Jahre ours: Jahre
orig: punktlich 	 correct: pünktlich ours: pünktlich
orig: teamarbeit 	 correct: Teamarbeit ours: Teamarbeit
orig: antwort 	 correct: Antwort ours: Antwort
orig: Großer 	 correct: großer ours: großer
orig: Kentnisse 	 correct: Kenntnisse ours: Kenntnisse
orig: verbesern 	 correct: verbessern ours: verbessern
orig: erfarungen 	 correct: Erfahrungen ours: Erfahrungen
orig: in 	 correct: In ours: In
orig: Programierer 	 correct: Programmierer ours: Programmierer
orig: behersche 	 correct: beherrsche ours: beherrsche
orig: team 	 correct: Team ours: Team
orig: Flexibel 	 correct: flexibel ours: flexibel
orig: auf 	 correct: Auf ours: Auf
orig: interesse 	 correct: Interesse ours: Interesse
orig: Auserdem 	 correct: Außerdem ours: Außerdem
orig: selbststandig 	 correct: selbstständig ours: selbstständig
orig: einladung 	 correct: Einladung ours: Einladung
orig: flexibl 	 correct: flexibel ours: flexibel
orig: wunsch 	 correct: Wunsch ours: Wunsch
orig: gans 	 correct: ganz ours: ganz
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: gefruet 	 correct: gefreut ours: gefreut
orig: ProsPeckte 	 correct: Prospekte ours: Prospekte
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: züruck 	 correct: zurück ours: zurück
orig: fur 	 correct: für ours: für
orig: ausbildung 	 correct: Ausbildung ours: Ausbildung
orig: beschäftigd 	 correct: beschäftigt ours: beschäftigt
orig: erfahrungen 	 correct: Erfahrungen ours: Erfahrungen
orig: naturlich 	 correct: natürlich ours: natürlich
orig: persöhnlich 	 correct: persönlich ours: persönlich
orig: Flexibel 	 correct: flexibel ours: flexibel
orig: verbesseren 	 correct: verbessern ours: verbessern
orig: bereich 	 correct: Bereich ours: Bereich
orig: Flexibel 	 correct: flexibel ours: flexibel
orig: Informatic 	 correct: Informatik ours: Informatik
orig: nachweisern 	 correct: nachweisen ours: nachweisen
orig: intresse 	 correct: Interesse ours: Interesse
orig: Germanistic 	 correct: Germanistik ours: Germanistik
orig: ausdurücken 	 correct: ausdrücken ours: ausdrücken
orig: antwort 	 correct: Antwort ours: Antwort
orig: Abschluß 	 correct: Abschluss ours: Abschluss
orig: Ausserdem 	 correct: Außerdem ours: Außerdem
orig: geeherte 	 correct: geehrte ours: geehrte
orig: ich 	 correct: Ich ours: Ich
orig: Semestre 	 correct: Semester ours: Semester
orig: ich 	 correct: Ich ours: Ich
orig: team 	 correct: Team ours: Team
orig: flissend 	 correct: fließend ours: fließend
orig: Kommunication 	 correct: Kommunikation ours: Kommunikation
orig: interess 	 correct: Interesse ours: Interesse
orig: Wenn 	 correct: wenn ours: wenn
orig: möglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: nummer 	 correct: Nummer ours: Nummer
orig: team 	 correct: Team ours: Team
orig: abwechlungsreiche 	 correct: abwechslungsreiche ours: abwechslungsreiche
orig: zeilstrebige 	 correct: zielstrebige ours: zielstrebige
orig: Erfarungen 	 correct: Erfahrungen ours: Erfahrungen
orig: abzuschlißen 	 correct: abzuschließen ours: abzuschließen
orig: Verkauferin 	 correct: Verkäuferin ours: Verkäuferin
orig: Studieren 	 correct: studieren ours: studieren
orig: Verantwortungsvolle 	 correct: verantwortungsvolle ours: verantwortungsvolle
orig: Betrib 	 correct: Betrieb ours: Betrieb
orig: Flexibel 	 correct: flexibel ours: flexibel
orig: Motiviert 	 correct: motiviert ours: motiviert
orig: bescheid 	 correct: Bescheid ours: Bescheid
orig: frendlichen 	 correct: freundlichen ours: freundlichen
orig: Geehrte 	 correct: geehrte ours: geehrte
orig: Intensiven 	 correct: intensiven ours: intensiven
orig: neugierieg 	 correct: neugierig ours: neugierig
orig: ich 	 correct: Ich ours: Ich
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: interesse 	 correct: Interesse ours: Interesse
orig: Sociologie 	 correct: Soziologie ours: Soziologie
orig: problem 	 correct: Problem ours: Problem
orig: zuverlessig 	 correct: zuverlässig ours: zuverlässig
orig: grosser 	 correct: großer ours: großer
orig: Deutshland 	 correct: Deutschland ours: Deutschland
orig: grosen 	 correct: großen ours: großen
orig: Heeren 	 correct: Herren ours: Herren
orig: fro 	 correct: froh ours: froh
orig: Als 	 correct: als ours: als
orig: flexibil 	 correct: flexibel ours: flexibel
orig: Ciriculum 	 correct: Curriculum ours: Curriculum
orig: Vervaltung 	 correct: Verwaltung ours: Verwaltung
orig: zuverläsige 	 correct: zuverlässige ours: zuverlässige
orig: un 	 correct: und ours: und
orig: Komputer 	 correct: Computer ours: Computer
orig: dank 	 correct: Dank ours: Dank
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: Beschriebenen 	 correct: beschriebenen ours: beschriebenen
orig: flexibil 	 correct: flexibel ours: flexibel
orig: Tatigkeit 	 correct: Tätigkeit ours: Tätigkeit
orig: interesse 	 correct: Interesse ours: Interesse
orig: tatigkeit 	 correct: Tätigkeit ours: Tätigkeit
orig: theoretishe 	 correct: theoretische ours: theoretische
orig: Teamfachigkeit 	 correct: Teamfähigkeit ours: Teamfähigkeit
orig: unfangreiche 	 correct: umfangreiche ours: umfangreiche
orig: geherte 	 correct: geehrte ours: geehrte
orig: interesire 	 correct: interessiere ours: interessiere
orig: Erfarungen 	 correct: Erfahrungen ours: Erfahrungen
orig: Antword 	 correct: Antwort ours: Antwort
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
