Languagetool gets right: 809
Out of: 2136
Accuracy: 0.379

LT correct + ours correct: 673
LT correct + ours incorrect: 136
LT incorrect + ours correct: 761
LT incorrect + ours incorrect: 566

############ Correct by Languagetool, correct by us ##########
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: giá 	 correct: già ours: già
orig: reggionale 	 correct: regionale ours: regionale
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: viaggare 	 correct: viaggiare ours: viaggiare
orig: practicare 	 correct: praticare ours: praticare
orig: piú 	 correct: più ours: più
orig: realtá 	 correct: realtà ours: realtà
orig: viaggieremo 	 correct: viaggeremo ours: viaggeremo
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: per 	 correct: Per ours: Per
orig: piú 	 correct: più ours: più
orig: esattemente 	 correct: esattamente ours: esattamente
orig: possibilita 	 correct: possibilità ours: possibilità
orig: passegiata 	 correct: passeggiata ours: passeggiata
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: publicato 	 correct: pubblicato ours: pubblicato
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: lontanto 	 correct: lontano ours: lontano
orig: pratticamente 	 correct: praticamente ours: praticamente
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: possibilita 	 correct: possibilità ours: possibilità
orig: fruquantato 	 correct: frequentato ours: frequentato
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: dificile 	 correct: difficile ours: difficile
orig: systema 	 correct: sistema ours: sistema
orig: Perchè 	 correct: Perché ours: Perché
orig: Universita 	 correct: Università ours: Università
orig: perchè 	 correct: perché ours: perché
orig: conoscuto 	 correct: conosciuto ours: conosciuto
orig: Egrega 	 correct: Egregia ours: Egregia
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: caffe 	 correct: caffè ours: caffè
orig: Giorgo 	 correct: Giorgio ours: Giorgio
orig: perchè 	 correct: perché ours: perché
orig: raggazzi 	 correct: ragazzi ours: ragazzi
orig: perchè 	 correct: perché ours: perché
