	SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_detection
0	1	M. Meier Müllergasse 1 12345 Stadt X Internationale Au-pair Vermittlung Bahnhofstr .							['FP', 'FP']
1	2	101 65185 Wiesbaden Stadt X , den 14.05.11 .							[]
2	3	Sehr geehrte Damen und Herren , ihre Anzeige in der Zeitung hat mich sehr erfreut , so was habe ich schon lange gesucht .							[]
3	4	Da mir die Arbeit mit anderen Menschen sehr großen Spas bereitet , habe ich mich entschlossen , mich zu bewerben .	Spas	51.0	55.0		Spaß		['FN']
4	5	Ich bin flexibel und für neuen Aufgaben ofen .	ofen	40.0	44.0		offen		['TP']
5	6	Takt , Geduld , warmherzigkeit und Zuverlässigkeit bringe ich mit , sowie Erfahrung im Umgang mit Kindern und der Haushaltsführung .	warmherzigkeit	16.0	30.0		Warmherzigkeit		['TP']
6	7	Ich spreche Russisch , Englisch , Kasachisch , habe Grundkenntnisse in Deutsch .							[]
7	8	Zusätzlich habe ich Computerkenntnisse .							[]
8	9	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Naturlich	0.0	9.0		Natürlich		['TP']
9	9	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Deutsche	25.0	33.0		deutsche		['FN']
10	10	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Reche	70.0	75.0		Rechte		['FP?', 'FN']
11	10	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Pflichen	78.0	86.0		Pflichten		['TP']
12	11	Werde ich versichert ?							[]
13	12	Welche Freizeitaktivitäten finden statt ?							[]
14	13	Wiviel Stunden in der Woche müssen die Kinder betreut werden ?	Wiviel	0.0	6.0		Wieviel		['TP']
15	14	Ob ich was verdiene ?							[]
16	15	Über eine baldige Antwort würde ich mich sehr freuen Mit freundlichen Grüssen Maria Meier							['FP']
17	16	Müller Julia Bahnhofsstr .							['FP']
18	17	1 A Stadt X Armenien AUPAIRSGLOBAL Bahnhofstr .							['FP', 'FP']
19	18	101 65185 Wiesbaden 0611/9988776 14.05.2011 Sehr geehrte Damen und Herren ich habe Ihre Anannse in der Zeitung gelesen .	Anannse	88.0	95.0		Annonce		['TP']
20	19	Von ihr Anzeige bin ich interesiert .	interesiert	24.0	35.0		interessiert		['TP']
21	20	Für diese Stelle bringe ich alle Voraussetzungen mit .							[]
22	21	Ich habe Linguistik studiert und spreche Deutsch , Russicsh und Armenisch .	Russicsh	51.0	59.0		Russisch		['TP']
23	22	Zusätzlich habe ich Computerkenntnisse .							[]
24	23	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	sondan	131.0	137.0		sondern		['TP', 'FP?', 'FP?']
25	23	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	Mentalitet	147.0	157.0		Mentalität		['TP']
