	SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_detection
0	1	Residence al Lago Maria Rossi Strada Maggiore 2/D Città X Ungheria 13/08/2011 Egregio Signore/a , La scrivo al riferimento dei servizi del Suo residence .							[]
1	2	Ci sono stata con il mio fidanzato per due settimane .							[]
2	3	Sembrava una buona scelta il suo hotel .							[]
3	4	Ma tutto era al contrario come era scritta nel Suo annuncio .							[]
4	5	Siamo appassianati dello sport .	appassianati	6.0	18.0		appassionati		['TP']
5	6	Purtroppo non abbiamo potuto giocare tennis perchè i campi da tennis erano in riparazione .	perchè	44.0	50.0		perché		['TP']
6	7	Questo era un problema grande riguardando alla cosa che il mio fidanzato un professionista del tennis .							[]
7	8	Quando abbiamo chiesto aiuto non abbiamo trovato una sola persona per risolverlo .							[]
8	9	Quanto a me la piú grande problema era che il lago sia stata lontanissimo .							['FP']
9	10	"Mentre l' annuncio diceva """""""" Il lago si raggiunge comodamente con i mezzi pubblici """""""" ."							[]
10	11	Questo non è un bugio totalmente ma c' erano pochi collegamenti però non ho potuto andarci .							['FP']
11	12	Una altra mancezza era l' équipe di animazione .							['FP', 'FP']
12	13	Me la piace molto ma c' era una sola sera quando c' èra animazione .							['FP']
13	14	Non sono soddisfatta neanche il mio fidanzato è contento con i Suoi servizi .							[]
14	15	Le preghiamo compensazione e se potessi darLe un consiglio cambia l' annuncio .							['FP']
15	16	In aspetta di una sua risposta .							[]
16	17	Cordiali saluti , Maria Rossi							[]
17	18	Maria Rossi 12345 Città X , Strada Maggiore n.13 .							[]
18	19	Ungheria Città X , 13.08.2011							[]
19	20	Canton Ticino Residence al Lago Alla cortese attenzione del Direttore Egregio Signore Direttore , ci siamo sistemati nel Vostro albergo dalle 5 alle 20 agosto .							[]
20	21	Il numero del nostro appartamento è 19.							[]
21	22	La Vostra pubblicità abbiamo trovato sul HVG , era una ottima offerta .							[]
22	23	Ma per dire la verità non siamo riusciti a divertirci perchè non tutte le cose sono come avete scritto nella pubblicità .	perchè	54.0	60.0		perché		['TP']
23	24	Ci tengo a dire tutte le cose che ci fatto male .							[]
24	25	Il residenze è molto vecchio e i muri sono sporchi .	residenze	3.0	12.0		residence		['FN']
25	26	L' aria condizionata non funziona , Vi prego di ripararla che presto è possibile .							[]
