SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
1	Ahoj Aleno , děkuju Ti mockrat za Tvůj email .	mockrat	23	30		mockrát	
2	Mám hodné práce na studium .						
3	Musím skončit diplomce přiští týden .						
4	Je brzo .						
5	Potom budu dělat výlet do Norsku .						
6	Těším se na tebe v 13 .						
7	dubna .						
8	Pozvám Ti na kávu na privatě .						
9	Kdy přijedeš ?						
10	Chtěla bych dostat pro tebe na nadráží .						
11	Doufám , že dostáš stáž .						
12	Mám zájem na kurz češtiny .						
13	Viš co kurz stojí a kdy začí ?	Viš	0	3		Víš	
14	Bylo by krásné , kdybych v Čechach pro kurz .	Čechach	27	34		Čechách	
15	Mohla bys mi poslat inzerát ?						
16	Jak se má tého bratra ?						
17	Ještě je ve škole ?						
18	Viděla ho minulý rok .						
19	Můj bratr začinal studium minulý měsíc .						
20	Studuje ekonomii v Berlině .						
21	Má velké radost .						
22	Ale , jak dlouho ?						
23	Pro dnešek končim .						
24	POzdravuj rodinu .						
25	Zatim ahoj Marie						
26	Ahoj Aleno						
27	bylo mi velká radost čist poslední e-mail , který jsem dostal před .						
28	Mám se výborně protože momentálně pišu zkousku z češtiny .						
29	Musím Ti napsát dopis a potom udělám ustní zkousku .						
30	Jinak i jiné zkousky už jsme dělal .						
31	Teď mi počkaji jenom několík hezčí seminární práci .						
32	Ten rok ještě nepracuju na diplomce , teprve začnu tím příští rok .						
33	Přesto nebudu mít dlouhé prázdniny , ale až přijdeš ty určitě mám volno .						
34	Musíš mi napsát v kolik hodin přijede vlak z Pirny abych mohl Tě dojit .						
35	V každém případě se těším na tvou navštěvu .						
36	Odpoledne mužeme jet domů mých rodicče a večer bychom mohli jít do kina , jestli máš chuť .						
37	Ostatně , děkuji Ti mockrát za tvou hezkou nabidku .						
38	Mám velký zájem na kurzu češtiny .						
39	Jenom potřebuju vědět kolík stojí , nemám hodně peníze .	kolík	22	27		kolik	
40	A nevíš , kdy začne ?						
41	Snad je ti možné , že mi poslaš inzerát kurzu ?						
42	Moc byl bych rád kdybych mohl studovat v Čechách v letě !						
43	Tedy , pozdravuj tvoje rodicči a mej se hezky !						
44	Těším se na 13 .						
45	dubna když se uvidíme .						
46	Jsem jistý že budeme mít hezkou dobou spolu !						
47	Za chvílí ahoj .	chvílí	3	9		chvíli	
48	Srdečně , Tvůj Martin						
49	Ahoj Aleno , Děkuju Ti za Tvůj email .						
50	Jsem rád , že se máš dobře .						
51	Mám se taky dobře .						
52	Naneštěstí mám hodně práce s moji diplomkou .						
53	Mimoto rád chodím do hospody s kamarády , hraju fotbal a squash .						
54	Minulý rok jsem měl stáž v Karlsruhe .						
55	Bylo to velice zajímavé a naučil se hodně nového .						
56	V létě pojedu na dva týdný na dovolenou .						
57	Pojedu s moji přitelkyni na dva tydný do Rakouska a Chorvatska .	přitelkyni	14	24		přítelkyní	
58	Nejdříve pojedeme autem do Vidně a pak poletime do Dubrovniku .						
59	Už se na to moc těším .						
60	Těším , že se brzo zase uvidíme .						
61	Rád bych Tě pozval na mě doma v pátek odpoledne .						
62	Uvařim výborné jidlo :-) .						
63	Navrhuju , že se sejdeme na nádraží .						
