Abychom	a b I x o m
Ahoi	a h\ o I
Ahoj	a h\ o j
Aktualně	a k t u a l J e
Americké	a m e r I t_s k e:
Američane	a m e r I t_S a n e
Así	a s i:
Australie	a_u s t r a l I e
Auto	a_u t o
Azií	a z I i:
Baltske	b a l t s k e
Behem	b e h\ e m
Berlíne	b e r l i: n e
Bilé	b I l e:
Bobik	b o b I k
BrylE	b r I l e
Bude	b u d e
Budejovici	b u d e j o v I t_s I
Budemé	b u d e m e:
Budes	b u d e s
Bukareštu	b u k a r e S t u
Bůde	b u: d e
Cely	t_s e l I
Chces	x t_s e s
Chcí	x t_s i:
Checam	x e t_s a m
Chechach	x e x a x
Chodim	x o J\ I m
Chodíl	x o J\ i: l
Chtela	x t e l a
Chtelá	x t e l a:
Chtěla	x c e l a
Cizi	t_s I z I
Cítíli	t_s i: c i: l I
Dava	d a v a
Davej	d a v e j
Davá	d a v a:
Dekuji	d e k u j I
Dekuju	d e k u j u
Diky	J\ I k I
Diplomku	J\ I p l o m k u
Ditě	J\ I c e
Dneská	d n e s k a:
Dobry	d o b r I
Dobá	d o b a:
Dom	d o m
Domnivali	d o m J I v a l I
Domu	d o m u
Dospěli	d o s p j e l I
Dostaváme	d o s t a v a: m e
Doufam	d o_u f a m
Draždanech	d r a Z d a n e x
Dražďan	d r a Z J\ a n
Dražďanech	d r a Z J\ a n e x
Dražďany	d r a Z J\ a n I
Druha	d r u h\ a
Drášďan	d r a: S J\ a n
Drášďanech	d r a: S J\ a n e x
Duležitějsí	d u l e Z I c e j s i:
Dál	d a: l
Dějíny	J\ e j i: n I
Děkuji	J\ e k u j I
Děkuju	J\ e k u j u
Dětí	J\ e c i:
Dřive	d P\ I v e
Důležite	d u: l e Z I t e
E-mail	e m a I l
Egiptu	e g I p t u
Email	e m a I l
Filozofii	f I l o z o f I I
Hlasili	h\ l a s I l I
Hledam	h\ l e d a m
Hlávnim	h\ l a: v J I m
Hodi	h\ o J\ I
Honzika	h\ o n z I k a
Hotelu	h\ o t e l u
Hrád	h\ r a: t
Icestovani	I t_s e s t o v a J I
Ikdyž	I g d I S
Inaměsti	I n a m J e s c I
Indianove	I n J\ I a n o v e
Ing	I N g
Internetu	I n t e r n e t u
Italie	I t a l I e
Italii	I t a l I I
Italíe	I t a l i: e
Italíi	I t a l i: I
Ja	j a
Jake	j a k e
Jeji	j e j I
Jesti	j e s c I
Ješte	j e S t e
Jsem	j s e m
Já	j a:
Jáka	j a: k a
Jínak	j i: n a k
Jště	j S c e
Katy	k a t I
Kazde	k a z d e
Kazdy	k a z d I
Kazdý	k a z d i:
Každa	k a Z d a
Každe	k a Z d e
Každy	k a Z d I
Kdiz	g d I s
Kdy	g d I
Kdé	g d e:
Kdýž	g d i: S
Knihovne	k J I h\ o v n e
Knihovně	k J I h\ o v J e
Kolik	k o l I k
Kolikrat	k o l I k r a t
Kolík	k o l i: k
Konečny	k o n e t_S n I
Kouka	k o_u k a
Koupáji	k o_u p a: j I
Košiče	k o S I t_S e
Ktery	k t e r I
Kterí	k t e r i:
Kurz	k u r s
Kurzy	k u r z I
Křivoklat	k Q\ I v o k l a t
Libilo	l I b I l o
Libí	l I b i:
Lide	l I d e
Londynu	l o n d I n u
Lídé	l i: d e:
Ma	m a
Maji	m a j I
Malte	m a l t e
Mam	m a m
Mame	m a m e
Mate	m a t e
Maš	m a S
Mej	m e j
Mejse	m e j s e
Mejte	m e j t e
Melo	m e l o
Mila	m I l a
Mily	m I l I
Minúla	m I n u: l a
Mnohy	m= n o h\ I
