"Missing"	m I s I N g
"Missing"poster	m I s I N g p O s t 6
'nen	n E n
(Wao	v a: o
*	
**	
***	
****	
**t	t e:
*Ieh	i:
*a	a
*achten	? a x t @ n
*an	? a n
*anhatsisich	? a n h a: t s i z I C
*ann	? a n
*anne	? a n @
*anorch	a n o:6 r C
*ein	? aI n
*emt	? E m t
*enken	? E n k @ n
*er	@
*evor	? e f o: r
*ich	I C
*loren	l o: r @ n
*metchen	m e: t C @ n
*nd	? E n d e:
*nde	n d @
*odo	O d o
*om	O m
*sst	? E s ? E s t e:
*unge	U N @
*vor	f O r
,Gelb	g @ l p
,rot	r o: t
-auf-gestanden	? aU f g @ S t a n d @ n
-n	? E n
1	
1.stund	s t U n t
10000	
10minute	m i n u: t @
10minuten	m i n u: t @ n
1234	
13	
13.30	
14.30	
1minute	m i n u: t @
3min	m i n
3x	? I k s
7.30.Uhr	U r
A-n	? a: ? E n
Aalles	? a: l @ s
Aallle	? a: l l @
Aals	? a: l s
Aalte	? a: l t @
AalteMan	? a: l t @ m a: n
Aaresse	? a: r @ s @
Aauf	? a: aU f
Aaus	? a: aU s
Ab	? a p
Aba	? a p a
Abar	? a p a r
Abbar	? a p a: r
Abe	? a: b E:
Abeit	? a: b aI t
Abens	? a: b @ n s
Aber	? a: b 6
Abes	? a: b @ s
Abgehelt	? a p g @ h E l t
Abrobos	? a p r o: b o s
Absich	? a p z I C
Achso	? a x z o:
Achtendreisig	? a x t @ n d r aI z I C
Achtug	? a x t u: k
Achtund-dreißig	? a x t U n t d r aI s I C
Achzen	? a x ts @ n
Aderese	? a: d @ r e: z @
Adrese	? a d r e: z @
Adrresse	? a d r E s @
Aein	? E aI n
Aeis	? E aI s
Agerufen	? a g @ r u: f @ n
Ah	? a:
Ais	? aI s
Alar	? a l a: r
Ale	? a: l @
Ales	? a: l @ s
Alle	? a l @
Aller	? a l 6
Alles	? a l @ s
Alles-	? a l @ s
Alls	? a l s
Allte	? a l t @
Allter	? a l t 6
Allz	? a l ts
Alr	? a l r
Alte	? a l t @
AlteMann	? a l t @ m a n
Altemann	? a l t @ m a n
Alten	? a l t @ n
Alter	? a l t 6
Altere	? a l t @ r @
Altermann	? a l t 6 m a n
Altärer	? a l t E: r 6
Alz	? a l ts
Am	? a m
AmBerKamP	? a m b 6 k a m p
AmBererkamP	? a m b @ r 6 k a m p
AmberKamP	? a m b 6 k a m p
Ammeisten	? a m aI s t @ n
An	? a n
An-ruf	? a n r u: f
Ander	? a n d 6
Andere	? a n d @ r @
Anderen	? a n d @ r @ n
Angegomen	? a n g @ g o: m @ n
Angehalten	? a n g @ h a l t @ n
Angekomen	? a n g @ k o: m @ n
Angekommen	? a n g @ k O m @ n
Angerufen	? a n g @ r u: f @ n
Angruf	? a n g r u: f
Angstschweich	? a n g s t S v aI C
Angts	? a N t s
Anhatten	? a n h a t @ n
Annruff	? a n r U f
Anpaar	? a n p a: r
Anpar	? a n p a: r
Anrft	? a n r f t
Anrruft	? a n r r U f t
Anru=f	? a n r U f
Anrufen	? a n r u: f @ n
Anruft	? a n r u: f t
Anruhf	? a n r u: f
Ans	? a n s
Anschlich	? a n S l I C
Anschließen	? a n S l i: s @ n
Anschlißend	? a n S l I s @ n t
Anstat	? a n s t a: t
Antort	? a n t O6 t s
Antwortet	? a n t v O6 t @ t
Antwortete	? a n t v O6 t @ t @
Anuft	? a n U f t
Ap	? a p
Aperat	? a p @ r a: t
Apfel	? a p f @ l
Apgegeben	? a p g @ g e: b @ n
Arba	? a r b a
Arbeit	? a r b aI t
Arbeitet	? a r b aI t @ t
Arbeitete	? a r b aI t @ t @
Arbeiteten	? a r b aI t @ t @ n
Arber	? a r b 6
Ardolfhitler	? a r d O l f h I t l 6
Arm	? a r m
Arme	? a r m @
Armen	? a r m @ n
Armt	? a r m t
Armte	? a r m t @
Arsse	? a r s z @
Aruf	? a r u: f
As	? a s
Aso	? a z o
Auer	? aU 6
Auf	? aU f
Auf-	? aU f
Auf-gehangen	? aU f g @ h a N @ n
Aufbaun	? aU f b aU n
Aufeimal	? aU f aI m a: l
Aufein-mal	? aU f aI n m a: l
Aufeinmal	? aU f aI n m a: l
Aufeinmall	? aU f aI n m a l
Aufemal	? aU f @ m a: l
Aufgabe	? aU f g a: b @
Aufgaben	? aU f g a: b @ n
Aufgefangen	? aU f g @ f a N @ n
Aufgehalten	? aU f g @ h a l t @ n
Aufgehregt	? aU f g e: r e: k t
Aufgehängt	? aU f g @ h E N t
Aufgeregt	? aU f g @ r e: k t
Aufgole	? aU f g o: l @
Aufhengen	? aU f h E N @ n
Aufraumen	? aU f r aU m @ n
Aufregende	? aU f r e: g @ n d @
Aufsaugen	? aU f z aU g @ n
Aufschreiben	? aU f S r aI b @ n
Aufwiedersehn	? aU f v i: d 6 z e: n
Augen	? aU g @ n
AugenbliK	? aU g @ n b l i: k
Aus	? aU s
Auser	? aU s 6
Aussversehn	? aU s f 6 z e: n
Austeigt	? aU s t aI k t
Auto	? aU t o
Außversehen	? aU n v 6 z e: @ n
Aws	? a f s
AySe	? aI z @
B	b e:
Baden	b a: d @ n
Baggon	b a g O N
Bagon	b a: g O n
Bagonwagen	b a: g O N v a: Z @ n
Bahm	b a: m
Bahn	b a: n
Baken	b a: k @ n
Bam	b a m
Bamm	b E m
Band	b a n t
Bank	b a N k
Bark	b a r k
Bas	b a s
Batonk	b a t O N k
Bau	b aU
Bau-staien	b aU S t aI @ n
Baucklöze	b aU k l 2: z @
Bauen	b aU @ n
Bauhen	b aU h e: n
Baukl--özien	b aU k l ? 9 z i: n
Bauklohse	b aU k l o: z @
Bauklots	b aU k l O t s
Bauklozen	b aU k l O ts @ n
Bauklozt	b aU k l O ts t
Bauklö-tze	b aU k l 2: t s @
Bauklöse	b aU k l 2: z @
Bauklöste	b aU k l 2: s t @
Bauklöt-ze	b aU k l 2: t ts e
Bauklöte	b aU k l 2: t @
Bauklötzchin	b aU k l 9 t s C I n
Bauklöze	b aU k l 2: z @
Bauklözen	b aU k l 2: z @ n
Bauklözte	b aU k l 9 ts t @
Baum	b aU m
Baupleze	b aU p l @ ts @
Bauschtene	b aU S t @ n @
Baut	b aU t
Bautel	b aU t @ l
Bauten	b aU t @ n
Baütel	b aU Y t @ l
Bbätter	b U E t 6
Be	b @
Bear	b @ ? a r
Beckam	b E k a: m
Bedank	b @ d a N k
Bedankte	b @ d a N k t @
Beelt	b e: l t
Befestiege	b @ f E s t i: g @
Befestiegte	b @ f E s t i: k t @
Befestigt	b @ f E s t I C t
Befestigte	b @ f E s t I C t @
Befor	b @ f O r
Begeistert	b @ g aI s t 6 t
Begrusten	b @ g r ? U s t @ n
Begrüßen	b @ g r y: s @ n
Bei	b aI
Beibe	b aI b @
Beid	b aI t
Beide	b aI d @
Beiden	b aI d @ n
Beim	b aI m
Beist	b aI s t
Beite	b aI t @
Beiten	b aI t @ n
Bekam	b @ k a: m
Bekomen	b @ k o: m @ n
Beld	b E l t
Belede	b e l e: d @
Belen	b @ l @ n
Bell	b E l
Bellen	b E l @ n
Belln	b @ l n
Bellt	b E l t
Bellte	b E l t @
Belt	b E l t
Belte	b E l t @
Bemerkt	b @ m E6 k t
Bemerkte	b @ m E6 k t @
Beniner-	b @ n I n 6
Ber	b @ r
Bereis	b @ r aI s
Bergong	b E6 k g O N
Bernhart	b @ r n h a r t
Bero	b @ r o
Beschrinen	b @ S r aI n @ n
Besitzarin	b @ z I t s ? a r i: n
Besizer	b @ z i: s 6
Besizerin	b @ z i: s @ r I n
Bester	b E s t 6
Bestimt	b @ S t I m t
Betagt	b @ t a: k t
Betel	b e t @ l
Beu--tel	b OY t E l
Beu-tel	b OY t E l
Beuen	b OY @ n
Beurtel	b OY r t @ l
Beutel	b OY t @ l
Beuter	b OY t 6
Bewegt	b @ v e: k t
Bewestigte	b @ v E s t I C t @
Bewoner	b @ v O n 6
Bey	b aI
Bez	b e: ts
Bezahlen	b @ ts a: l @ n
Bielder	b i: l d 6
Biete	b i: t @
Bilda	b I l d a
Bilder	b I l d 6
Bilt	b I l t
Bin	b I n
Binde	b I n d @
Bindet	b I n d @ t
Biro	b i r o
Bis	b I s
Bismarck	b I s m a r k
