2 1/2	
qm. größe	
(	
)	
,	
-	
.	
/	
10	
2	
20Ten	t @ n
22Ten	t @ n
2Zimmer	ts I m 6
3	
3-Zimmer	ts I m 6
31/2	
3Zimmer	ts I m 6
4	
4-Zimmer	ts I m 6
41/2	
ALLes	? a l @ s
AU-Pair-Agentur	? aU p aI 6 ? a g E n t u:6
Aauch	? a: aU x
Abends	? a: b @ n t s
Aber	? a: b 6
Abschliessend	? a p S l i: s @ n t
Abschluss	? a p S l U s
Abschluß	? a p S l U s
Abschlußarbeit	? a p S l u s ? a r b aI t
Addresse	? a t d r E s @
Adresse	? a d r E s @
Afzug	? a f ts u: k
Agentur	? a g E n t u:6
Agust	? a g U s t
Aingang	? aI n g a N
Alesclar	? a l E S l a r
Alle	? a l @
Alles	? a l @ s
Als	? a l s
Alt	? a l t
Altag	? a l t a: k
Altere	? a l t @ r @
Am	? a m
Amt	? a m t
AnZeige	? a n ts aI g @
Anannse	? a n a n z @
Anderen	? a n d @ r @ n
Andereseits	? a n d @ r e z aI t s
Anderseites	? a n d 6 z aI t @ s
Anderseits	? a n d @ r z aI t s
Anfand	? a n f a n t
Angebot	? a n g @ b o: t
Anlaß	? a n l a s
Anlegenheit	? a n l e: g @ n h aI t
Anrufen	? a n r u: f @ n
Anschlißlich	? a n S l I s l I C
Ansonst	? a n z O n s t
Antword	? a n t v 96 t s
Antwortest	? a n t v 96 t @ l s t
Antwortet	? a n t v O6 t @ t
Anworten	? a n v 96 t @ n t
Anziege	? a n ts i: g @
Anzige	? a n ts I g @
Aotu	? a ? o: E U
Arbait	? a r b aI t
Arbeistelle	? a r b aI S t E l @
Arbeit	? a r b aI t
Arbeite	? a r b aI t @
Arbeiten	? a r b aI t @ n
Arbeitet	? a r b aI t @ t
Arbeits	? a r b aI t s
Arbeitsam	? a r b aI t s a m
Arbeitskolegen	? a r b aI t s k o l e: g @ n
Arbeitsplazt	? a r b aI t s p l a ts t
Arbeitstele	? a r b aI t s t e: l @
Arbet	? a r b @ t
Arm	? a r m
Armenischen	? a r m e: n I S @ n
Artz	? a r t s
Arzt	? a r ts t
Astahnd	? a s t a: n t
Atworten	? a t v 96 t @ n t
Atwortes	? a t v 96 t @ l s
Au	? aU
