Gennaio 	dZ e nn a j o
'	
(Lui	l u i
(comme	k o mm e
(gramatica	g r a m a t i k a
,	
.	
/Grazie	g r a tts j e
29.Marzo	m a r ts o
A	a
ABRACI	a b r a tS i
ATESA	a t E z a
Abbiamo	a bb j a m o
Abbracci	a bb r a ttS i
Abbraccio	a bb r a ttS o
Abiamo	a b j a m o
Adeso	a d e z o
Afetto	a f e tt o
Agosto	a g o s t o
Aguri	a g u r i
Al	a l
Al'	a l
Albergo	a l b E r g o
All	a ll
Alla	a ll a
Alora	a l O r a
Amica	a m i k a
Amichi	a m i k i
Amici	a m i tS i
Ammettéro	a mm e tt e r o
Ance	a n tS e
Anchio	a n k j o
Anchè	a n k E
Anché	a n k e
Ancoro	a n k o r o
Ancòra	a n k O r a
Andró	a n d o
Appena	a pp e n a
April	a p r i l
Aprile	a p r i l e
Arivederci	a r i v e d e r tS i
Arriveró	a rr i v e o
Arrividerci	a rr i v i d e r tS i
Aspeto	a s p e t o
Attesa	a tt e s a
Augosto	a u g o s t o
Auguri	a u g u r i
Avete	a v e t e
BACCI	b a ttS i
BACCI-	b a ttS i
BACCIONI	b a ttS o n i
Bacci	b a ttS i
Baccio	b a ttS o
Baccione	b a ttS o n e
Baci	b a tS i
Bacioni	b a tS o n i
Barciono	b a r tS o n o
Benche	b e n k e
Bona	b O n a
Bongiorno	b o n dZ o r n o
Bono	b O n o
C'	tS i
CERA	tS e r a
CITTA	tS i tt a
COMINCARE	k o m i n k a r e
COSI	k O s i
CUCCINA	k u ttS i n a
CUCCINARE	k u ttS i n a r e
Cara	k a r a
Cari	k a r i
Carissimi	k a r i ss i m i
Caro	k a r o
Carrisimi	k a rr i z i m i
Carro	k a rr o
Casa	k a s a
Centro	tS E n t r o
Chattolica	k a tt O l i k a
Ci	tS i
Ciao	tS a o
Ciau	tS a u
Colgo	k O l g o
Collosseo	k o ll O ss e o
Com	k o m
Com'	k o m
Come	k o m e
Comè	k o m E
Congratulazione	k o n g r a t u l a tts j o n e
Congratulazioni	k o n g r a t u l a tts j o n i
Cosi	k O s i
Cosí	k O s i
Cuando	k u a n d o
DA	d a
Di	d i
Dicembre	d i tS E m b r e
Discoteka	d i s k O t E k a
Doppo	d o pp o
Due	d u e
E	E
E-Mail	E m a i l
ETERNÀ	e t e r n a
Eg.Gabriella	e g g a b r j E ll a
Egrega	e g r E g a
Espero	e s p e r o
Et	e t
Fabrica	f a b r i k a
Famiglia	f a m i LL a
Farcitto	f a r tS i tt o
Febbraio	f e bb r a j o
Felicitazioni	f e l i tS i t a tts j o n i
Forze	f O r ts e
Francese	f r a n tS e z e
GIA	dZ i a
GIOCATOLI	dZ o k a t o l i
GIOVEDI	dZ o v e d i
Genaio	dZ e n a j o
Giorgo	dZ O r g o
Giornata	dZ o r n a t a
Giovedi	dZ o v e d i
Giovedì	dZ o v e d i
Graciè	g r a tS j E
Gratulazio	g r a t u l a tts j o
Grazie	g r a tts j e
Grazzie	g r a tts i e
Habito	a b i t o
Hai	a i
Hieri	j E r i
Ho	o
Hotel	o t E l
IFORMATIONE	i f o r m a t j o n e
INDIRIZIO	i n d i r i tts j o
INNAZI	i nn a tts i
INTERESATA	i n t e r e z a t a
Iieri	i i E r i
Il	i l
In	i n
Inglese	i n g l e s e
Inoltrè	i n o l t r E
Instituto	i n s t i t u t o
Invio	i n v i o
Io	i o
Italiana	i t a l j a n a
Italiano	i t a l j a n o
Jennaio	dZ e nn a j o
L'	l
La	l a
Lasciatemi	l a SS a t E m i
Lavorarai	l a v o r a r a i
Lavoro	l a v o r o
Li	l i
Lino	l i n o
Lougano	l u g a n o
Luglio	l u LL o
Lunedi	l u n e d i
Lunedì	l u n e d i
MARTEDI	m a r t e d i
MERCOLEDI	m e r k o l E d i
MILE	m i l e
Maggio	m a ddZ o
Mah	m a
Mamma	m a mm a
Mammina	m a mm i n a
Mangiamo	m a n dZ a m o
Maroco	m a r O k o
Martedi	m a r t e d i
Martedí	m a r t e d i
Marzo	m a r ts o
Matrimonio	m a t r i m O n j o
Mezzogiorno	m e ddz o dZ o r n o
Mi	m i
Miei	m j E i
Mio	m i o
Mo	m o
Molti	m o l t i
Molto	m o l t o
Monstrero	m o n s t r E r o
Musei	m u z E i
Mà	m a
Nel	n e l
Nell	n E ll
Nell'	n E ll
Nellattesa	n e ll a tt e s a
Noci	n o tS i
Non	n O n
Novembre	n o v E m b r e
Oggi	O ddZ i
Orario	o r a r j o
Ottobre	o tt o b r e
PERCHE	p e r k e
PICOLLA	p i k O ll a
PIU	p i u
PIÚ	p i u
POMERIGIO	p o m e r i dZ o
POSIAMO	p o s j a m o
PROPIO	p r O p j o
Papa	p a p a
Parla	p a r l a
Peccáto	p e kk a t o
Perche	p e r k e
Perchè	p e r k E
Percio	p e r tS o
Perció	p e r tS o
Pero	p e r o
Persone	p e r s o n e
Piemontese	p j e m o n t e s e
Portroppo	p o r t r O pp o
Posibilitta	p o z i b i l i tt a
Potró	p o t o
Poui	p u i
Prererisco	p r e r e r i s k o
Presto	p r E s t o
Prima	p r i m a
Profesoressa	p r o f e z o r e ss a
Proporiamo	p r o p o r j a m o
Prosimo	p r o s i m o
Puo	p w o
Puoi	p w O i
Pur	p u r
Qualce	k w a l tS e
Qualge	k w a l dZ e
Quando	k w a n d o
Que	k w e
Quest	k w e s t
Ragazze	r a g a tts e
Ragazzi	r a g a tts i
Regalare	r e g a l a r e
Regalo	r e g a l o
Repeto	r e p e t o
Reppublica	r e pp u b l i k a
Residence	r e s i d E n tS e
Residencie	r e s i d e n tS e
Residente	r e s i d E n t e
Rimago	r i m a g o
Ringrazio	r i n g r a tts j o
Risbonti	r i z b o n t i
Risponti	r i s p o n t i
Ristorante	r i s t o r a n t e
SCRITO	s k r i t o
SCRIVERO	s k r i v e r o
SETIMANA	s e t i m a n a
Sabato	s a b a t o
Salati	s a l a t i
Saluti	s a l u t i
Salutie	s a l u t i e
Salutti	s a l u tt i
Salutì	s a l u t i
Sará	s a r a
Scrivi	s k r i v i
Scuzi	s k u ddz i
Scuzo	s k u ddz o
Seguire	s e g w i r e
Sera	s e r a
Setimane	s e t i m a n e
Settembre	s e tt E m b r e
Settimana	s e tt i m a n a
Si	s i
Siamo	s j a m o
Siccome	s i kk o m e
Siccomè	s i kk o m E
Siccuramente	s i kk u r a m e n t e
Sicome	s i k O m e
Sicomme	s i k O mm e
Signiora	s i JJ i o r a
Signor	s i JJ o r
Signore	s i JJ o r e
Singnor	s i n J o r
Singora	s i n g O r a
Sizilia	s i ddz i l j a
Societa	s o tS e t a
Solidarieta	s o l i d a r j E t a
Solidarietá	s o l i d a r j E t a
Soliderietà	s o l i d e r j e t a
Sono	s O n o
Sopratutto	s o p r a t u tt o
Spero	s p E r o
Subito	s u b i t o
TALIANDESE	t a l j a n d e s e
TOPO	t O p o
Tanti	t a n t i
Tedeschi	t e d e s k i
Ti	t i
Tipico	t i p i k o
Tomaso	t o m a z o
Tua	t u a
Un'	u n
Una	u n a
Universita	u n i v e r s i t a
Università	u n i v e r s i t a
Universitá	u n i v e r s i t a
VOREI	v o r E i
Vacanza	v a k a n ts a
Vado	v a d o
Venerdi	v e n e r d i
Vengo	v E n g o
Vi	v i
Voi	v o i
Vorrei	v o rr E i
Vuoì	v w o i
X.ci	k s k i
Zealanda	ts e a l a n d a
a	a
abbarcio	a bb a r tS o
abbilliamento	a bb i ll j a m e n t o
abbitare	a bb i t a r e
abbraciati	a bb r a tS a t i
abbracio	a bb r a tS o
abiamo	a b j a m o
abilita	a b i l i t a
abracciamo	a b r a ttS a m o
abraccio	a b r a ttS o
abracio	a b r a tS o
academia	a k a d E m j a
accetabile	a ttS e t a b i l e
accetazione	a ttS e t a tts j o n e
acount	a k o u n t
addatta	a dd a tt a
adderirme	a dd e r i r m e
addesso	a dd e ss o
adresso	a d r E ss o
affetuosamente	a ff e t u o s a m e n t e
affetuosi	a ff e t u o s i
affetusamente	a ff e t u z a m e n t e
africa	a f r i k a
agencia	a dZ e n tS a
aguia	a g w i a
