A	V
A's	{ z
AA	eI eI
AA's	Q z
AAA	eI eI eI
AB	eI b i:
AB's	eI b i: E s
ABA	eI b i: eI
ABC	eI b i: s i:
ABC's	{ b k s
ABCs	{ b k s
ABM	eI b i: E m
ABM's	{ b m z
ABMs	{ b m z
ABS	eI b i: E s
AC	eI s i:
AC's	{ k s
ACLU	eI s i: E l j u:
ACLU's	{ k l V s
ACT	eI s i: t i:
ACTH	eI s i: t i: eI tS
ACTH's	{ k T s
AD	eI d i:
AD's	{ d z
ADC	eI d i: s i:
ADD	eI d i: d i:
ADM	eI d i: E m
ADP	eI d i: p i:
ADP's	{ d p s
AF	eI E f
AFAIK	eI E f eI aI k eI
AFB	eI E f b i:
AFC	eI E f s i:
AFC's	{ f k s
AFDC	eI E f d i: s i:
AFN	eI E f E n
AFT	eI E f t i:
AI	eI aI
AI's	aI z
AIDS	eI aI d i: E s
AIDS's	eI d s
AIs	aI z
AK	eI k eI
AL	eI E l
AM	eI E m
AM's	{ m z
AMA	eI E m eI
AMD	eI E m d i:
AMD's	{ m d z
ANSI	eI E n E s aI
ANSIs	eI n s I s
ANZUS	eI E n z E t j u: E s
ANZUS's	{ n z u: s
AOL	eI @U E l
AOL's	aU l z
AP	eI p i:
AP's	{ p s
APB	eI p i: b i:
APC	eI p i: s i:
API	eI p i: aI
APO	eI p i: @U
APR	eI p i: 3`
AR	eI 3`
ARC	eI 3` s i:
ASAP	eI E s eI p i:
ASCII	eI E s s i: aI aI
ASCII's	{ s k i: z
ASCIIs	{ s k i: z
ASL	eI E s E l
ASL's	eI l z
ASPCA	eI E s p i: s i: eI
ATM	eI t i: E m
ATM's	{ t m z
ATP	eI t i: p i:
ATP's	{ t p s
ATV	eI t i: v i:
AV	eI v i:
AVI	eI v i: aI
AWACS	eI d V b l j u: eI s i: E s
AWACS's	eI w Q k s
AWOL	eI d V b l j u: @U E l
AWOL's	Q @U l z
AZ	eI z E t
AZ's	{ z
AZT	eI z E t t i:
AZT's	{ z t s
Aachen	Q k V n
Aachen's	Q k V n z
Aaliyah	V l j Q
Aaliyah's	V l i: j Q z
Aaron	E R V n
Aaron's	E R V n z
Abbas	V b Q s
Abbas's	{ b { s
Abbasid	{ b { s I d
Abbasid's	{ b { s I d z
Abbott	{ b V t
Abbott's	{ b V t s
Abby	{ b i:
Abby's	{ b i: z
Abdul	{ b d u: l
Abdul's	{ b d V l z
Abe	eI b
Abe's	eI b z
Abel	eI b V l
Abel's	eI b V l z
Abelard	{ b I l 3` d
Abelard's	{ b V l 3` d z
Abelson	{ b I l s V n
Abelson's	eI b V l s V n z
Aberdeen	{ b 3` d i: n
Aberdeen's	{ b 3` d i: n z
Abernathy	{ b 3` n { T i:
Abernathy's	{ b 3` n { T i: z
Abidjan	{ b I dZ Q n
Abidjan's	{ b I dZ V n z
Abigail	{ b V g eI l
Abigail's	{ b V g eI l z
Abilene	{ b I l i: n
Abilene's	{ b I l I n z
Abner	{ b n 3`
Abner's	{ b n 3` z
Aborigine	{ b 3` I dZ V n i:
Aborigine's	{ b 3` I dZ V n i: z
Aborigines	{ b 3` I dZ V n i: z
Abraham	eI b R V h { m
Abraham's	eI b R V h { m z
Abram	V b R { m
Abram's	eI b R V m z
Abrams	eI b R V m z
Abrams's	eI b R V m z I z
Absalom	{ b s V l V m
Absalom's	{ b s V l V m z
Abuja	{ b u: dZ V
Abuja's	{ b u: dZ V z
Abyssinia	{ b s I n i: V
Abyssinia's	{ b s I n i: V z
Abyssinian	{ b s I n i: V n
Abyssinian's	{ b s I n i: V n z
Ac	eI s i:
Ac's	{ k s
Acadia	V k eI d i: V
Acadia's	V k V d i: V z
Acapulco	{ k V p U l k @U
Acapulco's	{ k V p U l k @U z
Accenture	{ k s E n tS 3`
Accenture's	{ k s E n tS 3` z
Accra	V k R V
Accra's	V k j 3` V z
Acevedo	{ s V v eI d @U
Acevedo's	Q s V v i: d @U z
Achaean	V tS i: V n
Achaean's	Q tS i: V n z
Achebe	Q tS eI b i:
Achebe's	Q tS i: b z
Achernar	{ tS 3` n 3`
Achernar's	{ tS 3` n 3` z
Acheson	{ tS V s V n
Acheson's	{ tS V s V n z
Achilles	V k I l i: z
Achilles's	V k I l I s
Aconcagua	{ k V N k eI g w V
Aconcagua's	{ k V N k eI g w Q s
Acosta	V k O: s t V
Acosta's	V k O: s t V z
Acropolis	V k R Q p V l V s
Acrux	V k R V k s
Acrux's	V k R V k s
Actaeon	{ k t i: V n
Actaeon's	{ k t i: V n z
Acton	{ k t V n
Acton's	{ k t V n z
Acts	{ k t s
Acts's	{ k t s
Acuff	V k V f
Acuff's	{ k V f s
Ada	eI d V
Ada's	eI d V z
Adam	{ d V m
Adam's	{ d V m z
Adams	{ d V m z
Adams's	{ d V m z I z
Adan	eI d V n
Adan's	{ d V n z
Adana	V d { n V
Adana's	V d { n V z
Adar	V d Q R
Adar's	{ d Q R z
Adas	eI d V z
Addams	{ d V m z
Addams's	{ d V m s
Adderley	V d 3` l i:
Adderley's	V d 3` l i: z
